Freq	Word	Lemma
1	благоприяли	благоприяти
1	благопріятствовать	благоприятствовати
1	благоразумятся	благоразумитися
1	благорастворяя	благорастворяти
1	благосердуя	благосердовати
1	благослави	благословити
1	благославишь	благословити
1	благослвите	благословити
3	Благословен	благословити
7	благословен	благословити
10	благословена	благословити
15	Благословена	благословити
2	благословенаа	благословити
1	благословенаго	благословити
2	Благословени	благословити
16	благословени	благословити
22	благословено	благословити
1	благословеное	благословити
1	благословеному	благословити
2	Благословенъ	благословити
13	благословенъ	благословити
6	благословены	благословити
2	благословеных	благословити
1	благословете	благословити
12	БЛАГОСЛОВИ	благословити
64	Благослови	благословити
338	благослови	благословити
11	благословив	благословити
3	благословивша	благословити
1	благословившаго	благословити
8	благословивше	благословити
3	благословивши	благословити
12	благословившу	благословити
1	благословившю	благословити
51	благословивъ	благословити
2	благословивый	благословити
9	благословивь	благословити
3	Благословил	благословити
183	благословил	благословити
2	Благословила	благословити
33	благословила	благословити
19	благословили	благословити
1	БЛАГОСЛОВИЛЪ	благословити
2	Благословилъ	благословити
167	благословилъ	благословити
3	благословілъ	благословити
1	благословим	благословити
1	благословиста	благословити
43	благословит	благословити
3	Благословите	благословити
24	благословите	благословити
2	Благословити	благословити
44	благословити	благословити
45	благословитъ	благословити
11	благословить	благословити
1	благословихъ	благословити
2	БЛАГОСЛОВИША	благословити
18	благословиша	благословити
3	благословиши	благословити
1	благословишь	благословити
1	благословленая	благословити
1	благословленые	благословити
1	благословленымъ	благословити
3	Благословлю	благословити
14	благословлю	благословити
1	благословля	благословити
12	благословя	благословити
5	благословят	благословити
3	благословять	благословити
13	благословяше	благословити
2	благословяшет	благословити
1	благословяшеть	благословити
1	благословящаю	благословити
1	благословящая	благословити
3	благословяще	благословити
9	благословящей	благословити
1	благословящи	благословити
3	благословящіе	благословити
1	благосовилъ	благословити
1	блгословилъ	благословити
4	благословився	благословитися
1	благословившеся	благословитися
1	благословившися	благословитися
1	благословившуся	благословитися
1	благословилася	благословитися
1	благословилися	благословитися
2	благословился	благословитися
2	благословистася	благословитися
30	благословися	благословитися
31	благословитися	благословитися
16	благословится	благословитися
